Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.038503,0.0028194,0.042053,0,0,0,2.2677,0.0024574,-1.045E-05,-5.4997E-06,0.0068363,4.5927E-06,0.007416,0,0,0,0,0,0,package://first_vel01/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/base_link.STL,,首节底盘-1/______1_1-0(2)-1;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/CONGDONGLUN_MIR_ASM_1_ASM_1-1;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/CONGDONGLUN_MIR_ASM_1_ASM_1-2;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/CONGDONGLUN_MIR_ASM_1_ASM_1-3;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/CONGDONGLUN_MIR_ASM_1_ASM_1-4;首节底盘-1/_______________1-1/______1_1-1;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/ZHIJIA4_MIR_1_1_1-2;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/ZHIJIA4_MIR_1_1_1-3;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/ZHIJIA4_MIR_1_1_1-1;首节底盘-1/__________-1/E353S____(________-1;首节底盘-1/__________-1/M3-50 ________-2;首节底盘-1/__________-1/M3-50 ________-3;首节底盘-1/LVDAI_1_1-1;首节底盘-1/__________1.2mm_1.5_____1-1/_____________________1-1;首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/DIANJI828_MIR_1_1-1;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/DIANJI828_1_1-1;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/ZHIJIA4_4_1_2-2;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/ZHIJIA4_4_1_2-3;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/ZHIJIA4_4_1_2-1;扩张机构-1/电机-1/ecm-e3h-cx0401rbe.stp-1/PLUG-MTSCREWTYPE7A6S_T0_1_2.stp-1;扩张机构-1/电机-1/ecm-e3h-cx0401rbe.stp-1/ECM-B3H-CX0401RB1_20231218.stp-1;扩张机构-1/电机-1/ecm-e3h-cx0401rbe.stp-1/PLUG-MCSCREWTYPE7S-0506_1_2.stp-1;扩张机构-1/电机-1/ecm-e3h-cx0401rbe.stp-1/NKJ2_5-3.stp-1;扩张机构-1/机架-1;扩张机构-1/触须-9;扩张机构-1/触须-2;扩张机构-1/触须-3;扩张机构-1/触须-4;扩张机构-1/触须-6;扩张机构-1/触须-8;扩张机构-1/触须-5;扩张机构-1/丝杠导-1;扩张机构-1/连杆-1;扩张机构-1/触须-1;扩张机构-1/连杆-7;扩张机构-1/触须-7;扩张机构-1/丝杠壳-1;扩张机构-1/连杆-2;扩张机构-1/滑块螺纹-1;扩张机构-1/连杆-4;扩张机构-1/连杆-3;扩张机构-1/连杆-5;扩张机构-1/连杆-8;扩张机构-1/连杆-6;扩张机构-1/连杆-9;扩张机构-1/DBT01-20-d10-e10-1/DBT01-D20-d10-e10-002-1;扩张机构-1/DBT01-20-d10-e10-1/DBT01-D20-d10-e10-001-1;扩张机构-1/DBT01-20-d10-e10-1/DBT01-D20-d10-e10-003-1;首节底盘-1/__________-1/__________-1-1;首节底盘-1/__________-1/M3-50 ________-4;首节底盘-1/__________-1/M3-50 ________-1;首节底盘-1/_______________1-1/LVDAI_1_1-1;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/CONGDONGLUN_ASM_3_ASM_1-4;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/CONGDONGLUN_ASM_3_ASM_1-3;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/CONGDONGLUN_ASM_3_ASM_1-2;首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/CONGDONGLUN_ASM_3_ASM_1-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wh1_Link,-7.9103E-16,-1.8562E-16,-0.019953,0,0,0,0.024669,2.3649E-06,2.0255E-20,-8.0836E-22,2.3649E-06,5.3752E-22,2.4669E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh1_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh1_Link.STL,,首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/CONGDONGLUN22_MIR_ASM_1_ASM_1-1,坐标系47,基准轴1,wh1_joint,continuous,-0.090325,0.12486,0.0105,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh2_Link,4.1633E-17,0,-0.012031,0,0,0,0.017275,2.8962E-06,2.381E-22,1.61E-21,2.8962E-06,1.7613E-23,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh2_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh2_Link.STL,,从动2-4,坐标系3,基准轴2,wh2_joint,continuous,-0.046146,0.11986,-0.016278,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh3_Link,3.4694E-17,-6.9389E-18,-0.012031,0,0,0,0.017275,2.8962E-06,-4.9043E-22,1.3263E-21,2.8962E-06,1.4637E-22,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh3_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh3_Link.STL,,从动2-3,坐标系4,基准轴6,wh3_joint,continuous,-0.001146,0.11986,-0.016278,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh4_Link,3.8164E-17,-6.9389E-18,-0.012031,0,0,0,0.017275,2.8962E-06,4.1472E-22,1.4164E-21,2.8962E-06,-2.1852E-22,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh4_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh4_Link.STL,,从动2-2,坐标系7,基准轴3,wh4_joint,continuous,0.043854,0.11986,-0.016278,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh5_Link,5.5511E-17,-6.9389E-18,-0.012031,0,0,0,0.017275,2.8962E-06,-3.8351E-22,1.5541E-21,2.8962E-06,1.6663E-23,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh5_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh5_Link.STL,,从动2-1,坐标系5,基准轴4,wh5_joint,continuous,0.088854,0.11986,-0.016278,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh6_Link,2.8188E-12,-7.0472E-12,-0.013031,0,0,0,0.018562,1.5501E-06,-2.6187E-16,5.1822E-16,1.5501E-06,-1.2921E-15,2.8242E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh6_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh6_Link.STL,,首节底盘-1/ASM0003_ASM_1_ASM_1_1-1/828ZHUDONGLUN_MIR_ASM_1_ASM_1-1,坐标系6,基准轴5,wh6_joint,continuous,0.13217,0.12466,0.0105,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh7_Link,9.7145E-16,-1.8735E-16,0.019945,0,0,0,0.0091305,8.7565E-07,-6.6099E-21,-3.4992E-22,8.7565E-07,4.3266E-22,9.1351E-07,0,0,0,0,0,0,package://first_vel01/meshes/wh7_Link.STL,0.74118,0.90196,0.95686,1,0,0,0,0,0,0,package://first_vel01/meshes/wh7_Link.STL,,首节底盘-1/_______________1-1/CEBANZHUANG_ASM_5_ASM_1_1-1/CONGDONGLUN22_ASM_3_ASM_1-1,坐标系8,基准轴7,wh7_joint,continuous,-0.090325,-0.125,0.0105,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh8_Link,-5.5511E-17,0,0.012031,0,0,0,0.017275,2.8962E-06,-3.6881E-22,1.3984E-21,2.8962E-06,2.4231E-23,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh8_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh8_Link.STL,,从动2-5,坐标系9,基准轴8,wh8_joint,continuous,-0.046146,-0.12,-0.016278,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh9_Link,-5.5511E-17,0,0.012031,0,0,0,0.017275,2.8962E-06,-2.3211E-22,1.3102E-21,2.8962E-06,-1.9561E-22,2.481E-06,0,0,0,0,0,0,package://first_vel01/meshes/wh9_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://first_vel01/meshes/wh9_Link.STL,,从动2-7,坐标系10,基准轴9,wh9_joint,continuous,-0.001146,-0.12,-0.016278,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
