Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026311,-0.0029309,0.037082,0,0,0,2.0626,0.0036728,-1.6216E-05,9.1245E-06,0.0092421,8.7861E-06,0.010609,0,0,0,0,0,0,package://mid_vel/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/base_link.STL,,ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/______1_1-0(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/CONGDONGLUN_MIR_ASM_1_ASM_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/CONGDONGLUN_MIR_ASM_1_ASM_1(2)-2;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/CONGDONGLUN_MIR_ASM_1_ASM_1(2)-3;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/CONGDONGLUN_MIR_ASM_1_ASM_1(2)-4;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/LVDAI_1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/ZHIJIA4_MIR_1_1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/E353S____(________(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/ZHIJIA4_MIR_1_1_1(2)-2;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/ZHIJIA4_MIR_1_1_1(2)-3;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/______1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/M3-50 ________(2)-3;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/M3-50 ________(2)-2;ROSmini高配履带车（三维模型）(2)-1/__________1.2mm_1.5_____1(2)-1/_____________________1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/LVDAI_1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/CONGDONGLUN_ASM_3_ASM_1(2)-4;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/CONGDONGLUN_ASM_3_ASM_1(2)-3;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/CONGDONGLUN_ASM_3_ASM_1(2)-2;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/CONGDONGLUN_ASM_3_ASM_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/ZHIJIA4_4_1_2(2)-3;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/M3-50 ________(2)-4;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/ZHIJIA4_4_1_2(2)-2;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/ZHIJIA4_4_1_2(2)-1;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/M3-50 ________(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/DIANJI828_1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/DIANJI828_MIR_1_1(2)-1;ROSmini高配履带车（三维模型）(2)-1/__________(2)-1/__________-1(2)-1,坐标系15,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wh1_Link,-9.7145E-16,1.8735E-16,0.019953,0,0,0,0.024669,2.3649E-06,-2.0339E-20,1.2554E-22,2.3649E-06,6.2244E-22,2.4669E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh1_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh1_Link.STL,,ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/CONGDONGLUN22_MIR_ASM_1_ASM_1(2)-1,坐标系1,基准轴1,wh1_joint,continuous,-0.090325,0.12486,0.0105,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh2_Link,9.0206E-16,8.8818E-16,0.017031,0,0,0,0.017275,2.8962E-06,3.8073E-22,1.5306E-21,2.8962E-06,-3.4325E-23,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh2_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh2_Link.STL,,从动2-4,坐标系2,基准轴2,wh2_joint,continuous,-0.046146,0.12486,-0.016278,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh3_Link,9.0379E-16,8.743E-16,0.017031,0,0,0,0.017275,2.8962E-06,4.4193E-22,1.5609E-21,2.8962E-06,-5.2332E-23,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh3_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh3_Link.STL,,从动2-7,坐标系3,基准轴3,wh3_joint,continuous,-0.001146,0.12486,-0.016278,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh4_Link,9.3675E-16,8.743E-16,0.015531,0,0,0,0.017275,2.8962E-06,4.4405E-22,1.5378E-21,2.8962E-06,-4.9563E-23,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh4_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh4_Link.STL,,从动2-3,坐标系4,基准轴4,wh4_joint,continuous,0.043854,0.12486,-0.016278,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh5_Link,9.4369E-16,8.743E-16,0.015531,0,0,0,0.017275,2.8962E-06,3.9252E-22,1.5289E-21,2.8962E-06,-1.4018E-23,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh5_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh5_Link.STL,,从动2-2,坐标系5,基准轴5,wh5_joint,continuous,0.088854,0.12486,-0.016278,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh6_Link,2.8186E-12,7.0472E-12,0.013031,0,0,0,0.018562,1.5501E-06,2.6187E-16,-5.1823E-16,1.5501E-06,-1.2921E-15,2.8242E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh6_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh6_Link.STL,,ROSmini高配履带车（三维模型）(2)-1/_______________1-1-1/ASM0003_ASM_1_ASM_1_1(2)-1/828ZHUDONGLUN_MIR_ASM_1_ASM_1(2)-1,坐标系6,基准轴6,wh6_joint,continuous,0.13217,0.12466,0.0105,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wh7_Link,1.0963E-15,1.8041E-16,-0.019945,0,0,0,0.024652,2.3643E-06,1.7908E-20,2.2341E-22,2.3643E-06,1.1221E-21,2.4665E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh7_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh7_Link.STL,,ROSmini高配履带车（三维模型）(2)-1/_______________1(2)-1/CEBANZHUANG_ASM_5_ASM_1_1(2)-1/CONGDONGLUN22_ASM_3_ASM_1(2)-1,坐标系7,基准轴7,wh7_joint,continuous,-0.090325,-0.125,0.0105,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh8_Link,-5.9674E-16,-1.1519E-15,-0.015531,0,0,0,0.017275,2.8962E-06,-3.8209E-22,1.4565E-21,2.8962E-06,9.4776E-24,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh8_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh8_Link.STL,,从动2-5,坐标系8,基准轴8,wh8_joint,continuous,-0.046146,-0.125,-0.016278,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh9_Link,-5.7896E-16,-1.138E-15,-0.015531,0,0,0,0.017275,2.8962E-06,-4.204E-22,1.5299E-21,2.8962E-06,6.0999E-23,2.481E-06,0,0,0,0,0,0,package://mid_vel/meshes/wh9_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://mid_vel/meshes/wh9_Link.STL,,从动2-6,坐标系9,基准轴9,wh9_joint,continuous,-0.001146,-0.125,-0.016278,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
