Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0,0,0,0,75.985,1.5666,-0.0063371,-0.019931,4.012,0.0003888,4.7843,0,0,0,0,0,0,package://vehicle_all/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://vehicle_all/meshes/base_link.STL,,零件21-1;零件20-1;零件4-1;零件18-1;零件19-1;零件2-1;电柜箱-1/电柜壳-1;电瓶-1;电机-2;减速箱-3;电机-1;减速箱-1;滚轴轴承62×30-1;行车架-11-2;导向轮总成-7/导向轮支座-1;φ20螺母-4;φ20螺母-3;导向轮总成-1/导向轮支座-1;φ20螺母-2;φ20螺母-1;φ10螺栓-10;φ10螺栓-12;φ10螺栓-14;φ10螺栓-8;φ10螺栓-6;φ10螺栓-4;支重轮总成-16/支重轮轴套-1;支重轮总成-15/支重轮轴套-1;支重轮总成-14/支重轮轴套-1;履带-联合型 - 1-2;仿生整体 - 副本-1/气动装置总装配体-1/零件2^气动装置总装配体-1;仿生整体 - 副本-1/气动装置总装配体-1/后法兰-1;仿生整体 - 副本-1/气动装置总装配体-1/零件4^气动装置总装配体-1;仿生整体 - 副本-1/气动装置总装配体-1/连接杆-2;仿生整体 - 副本-1/气动装置总装配体-1/连接杆-1;仿生整体 - 副本-1/气动装置总装配体-1/连接杆-4;仿生整体 - 副本-1/气动装置总装配体-1/连接杆-3;仿生整体 - 副本-1/零件12^仿生整体 - 副本-1;仿生整体 - 副本-1/机架lll-1;仿生整体 - 副本-1/气动装置总装配体-1/气动推杆装配体-1;仿生整体 - 副本-1/胡须-8;仿生整体 - 副本-1/胡须-5;仿生整体 - 副本-1/胡须-2;仿生整体 - 副本-1/胡须-1;仿生整体 - 副本-1/胡须-3;仿生整体 - 副本-1/胡须-6;仿生整体 - 副本-1/胡须-4;仿生整体 - 副本-1/胡须-7;仿生整体 - 副本-1/胡须-9;仿生整体 - 副本-1/滑块3-1;仿生整体 - 副本-1/连杆3-8;仿生整体 - 副本-1/连杆3-10;仿生整体 - 副本-1/连杆3-3;仿生整体 - 副本-1/连杆3-2;仿生整体 - 副本-1/连杆3-1;仿生整体 - 副本-1/连杆3-5;仿生整体 - 副本-1/连杆3-11;仿生整体 - 副本-1/连杆3-12;仿生整体 - 副本-1/连杆3-7;仿生整体 - 副本-1/螺母22-3;仿生整体 - 副本-1/螺母22-4;仿生整体 - 副本-1/螺母22-1;仿生整体 - 副本-1/螺母22-2;仿生整体 - 副本-1/零件11^仿生整体 - 副本-1;仿生整体 - 副本-1/零件13^仿生整体 - 副本-1;Copy of 零件12^履带底盘1-1;履带-联合型 - 1-1,坐标系19,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1_Link,1.249E-08,-0.031581,7.4203E-05,0,0,0,0.78706,0.0021017,-3.9045E-10,1.0314E-10,0.0034145,-1.9413E-06,0.0021023,0,0,0,0,0,0,package://vehicle_all/meshes/wheel1_Link.STL,0.81176,0.58431,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel1_Link.STL,,驱动轮-3;驱动轮-轴-6;φ10螺栓-1;端盖-3,坐标系6,基准轴1,wheel1_joint,continuous,-0.42,0.366,0.03,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel2_Link,3.8164E-15,-0.075,1.4433E-15,0,0,0,1.1022,0.004462,-5.8667E-19,-3.9762E-19,0.0031755,-1.015E-18,0.004462,0,0,0,0,0,0,package://vehicle_all/meshes/wheel2_Link.STL,0.81176,0.21569,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel2_Link.STL,,支重轮总成-16/支重轮-1;支重轮总成-16/支重轮端盖-2;支重轮总成-16/φ6螺栓-6;支重轮总成-16/φ6螺栓-5;支重轮总成-16/φ6螺栓-4;支重轮总成-16/支重轮端盖-1;支重轮总成-16/φ6螺栓-3;支重轮总成-16/φ6螺栓-2;支重轮总成-16/φ6螺栓-1,坐标系3,基准轴2,wheel2_joint,continuous,-0.13,0.425,-0.032,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel3_Link,1.4932E-14,-0.075,2.2204E-15,0,0,0,1.1022,0.004462,-2.1041E-20,-6.2154E-19,0.0031755,2.1064E-18,0.004462,0,0,0,0,0,0,package://vehicle_all/meshes/wheel3_Link.STL,0.81176,0.21569,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel3_Link.STL,,支重轮总成-15/支重轮-1;支重轮总成-15/支重轮端盖-2;支重轮总成-15/φ6螺栓-4;支重轮总成-15/φ6螺栓-5;支重轮总成-15/φ6螺栓-6;支重轮总成-15/φ6螺栓-1;支重轮总成-15/φ6螺栓-3;支重轮总成-15/支重轮端盖-1;支重轮总成-15/φ6螺栓-2,坐标系2,基准轴3,wheel3_joint,continuous,0.13,0.425,-0.032,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel4_Link,-6.9944E-15,-0.075,2.3315E-15,0,0,0,1.1022,0.004462,2.5768E-18,-3.6642E-19,0.0031755,1.2893E-18,0.004462,0,0,0,0,0,0,package://vehicle_all/meshes/wheel4_Link.STL,0.81176,0.21569,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel4_Link.STL,,支重轮总成-14/支重轮-1;支重轮总成-14/φ6螺栓-6;支重轮总成-14/支重轮端盖-2;支重轮总成-14/φ6螺栓-5;支重轮总成-14/φ6螺栓-4;支重轮总成-14/支重轮端盖-1;支重轮总成-14/φ6螺栓-1;支重轮总成-14/φ6螺栓-2;支重轮总成-14/φ6螺栓-3,坐标系4,基准轴4,wheel4_joint,continuous,0.39,0.425,-0.032,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel5_Link,1.3323E-15,-0.019999,-7.7716E-15,0,0,0,0.33834,0.00052483,2.5902E-20,4.9142E-19,0.0009698,7.5057E-22,0.00052483,0,0,0,0,0,0,package://vehicle_all/meshes/wheel5_Link.STL,0.81176,0.58431,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel5_Link.STL,,导向轮总成-7/导向轮-1,坐标系5,基准轴5,wheel5_jointk,continuous,0.62093,0.37,0.055,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel6_Link,8.8818E-16,0.019999,2.2204E-16,0,0,0,0.33834,0.00052483,1.4066E-19,3.0058E-19,0.0009698,-5.8602E-19,0.00052483,0,0,0,0,0,0,package://vehicle_all/meshes/wheel6_Link.STL,0.81176,0.58431,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel6_Link.STL,,导向轮总成-1/导向轮-1,坐标系7,基准轴5,wheel6_joint,continuous,0.62093,-0.37,0.055,0,-0.00015811,0,base_link,0,1,0,,,,,,,,,,,,
wheel7_Link,1.1657E-14,0.075,2.5535E-15,0,0,0,1.1022,0.004462,2.1354E-18,1.2535E-19,0.0031755,-6.1694E-19,0.004462,0,0,0,0,0,0,package://vehicle_all/meshes/wheel7_Link.STL,0.81176,0.21569,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel7_Link.STL,,支重轮总成-17/支重轮-1;支重轮总成-17/支重轮端盖-1;支重轮总成-17/φ6螺栓-3;支重轮总成-17/φ6螺栓-2;支重轮总成-17/φ6螺栓-1;支重轮总成-17/支重轮端盖-2;支重轮总成-17/φ6螺栓-6;支重轮总成-17/φ6螺栓-4;支重轮总成-17/φ6螺栓-5,坐标系8,基准轴9,wheel7_joint,continuous,0.39,-0.425,-0.032,0,-0.00015811,0,base_link,0,-1,0,,,,,,,,,,,,
wheel8_Link,-2.9421E-15,0.075,2.3315E-15,0,0,0,1.1022,0.004462,-8.7001E-19,3.4482E-20,0.0031755,3.386E-19,0.004462,0,0,0,0,0,0,package://vehicle_all/meshes/wheel8_Link.STL,0.81176,0.21569,0,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel8_Link.STL,,支重轮总成-18/支重轮-1;支重轮总成-18/支重轮端盖-1;支重轮总成-18/φ6螺栓-3;支重轮总成-18/φ6螺栓-1;支重轮总成-18/φ6螺栓-2;支重轮总成-18/支重轮端盖-2;支重轮总成-18/φ6螺栓-4;支重轮总成-18/φ6螺栓-6;支重轮总成-18/φ6螺栓-5,坐标系9,基准轴8,wheel8_joint,continuous,0.13,-0.425,-0.032,0,-0.00015811,0,base_link,0,-1,0,,,,,,,,,,,,
wheel9_Link,1.0381E-08,0.075,6.5657E-05,0,0,0,1.1155,0.0044652,-4.6244E-19,2.0986E-10,0.0031779,5.5756E-19,0.0044665,0,0,0,0,0,0,package://vehicle_all/meshes/wheel9_Link.STL,0.18039,0.18039,0.18039,1,0,0,0,0,0,0,package://vehicle_all/meshes/wheel9_Link.STL,,支重轮总成-19/φ6螺栓-1;支重轮总成-19/φ6螺栓-2;支重轮总成-19/支重轮端盖-1;支重轮总成-19/φ6螺栓-3;支重轮总成-19/φ6螺栓-5;支重轮总成-19/φ6螺栓-4;支重轮总成-19/支重轮轴套-1;支重轮总成-19/φ6螺栓-6;支重轮总成-19/支重轮端盖-2;支重轮总成-19/支重轮-1,坐标系10,基准轴7,wheel9_joint,continuous,-0.13,-0.425,-0.032,0,-0.00015811,0,base_link,0,-1,0,,,,,,,,,,,,
